address,city,state,zip,latitude,longitude,county
21 First Avenue,Evansville,Indiana,47710,37.97830581665039,-87.57425689697266,Vanderburgh Co.
1 Library Plaza,Noblesville,Indiana,46060,40.048118591308594,-85.99409484863281,Hamilton Co.
215 College Street,Courtland,Alabama,35618,34.665985107421875,-87.31045044958591,Lawrence Co.
626 Second St,Lebanon,Oregon,97355,44.539756774902344,-122.90898132324219,Linn Co.
"504 Cherry St., Ne",Decatur,Alabama,35601,34.605995178222656,-86.9806900024414,Morgan Co.
247 1st Ave East,Kalispell,Montana,59901,48.196611776947975,-114.31134268641472,Flathead Co.
13 Front Street North,Cascade,Montana,59421,47.27086879312992,-111.6995919495821,Cascade Co.
17-19 West Mahanoy St.,Mahanoy City,Pennsylvania,17948,40.8106689453125,-76.1444091796875,Schuylkill Co.
119 West Main Street,Comstock,Nebraska,68828,41.556557938456535,-99.24104489386082,Custer Co.
307 4th Avenue South,Red Bay,Alabama,35582,34.4427604675293,-88.15669250488281,Franklin Co.
23704 Cedar Drive,Waterloo,Nebraska,68069,41.28509521484375,-96.28885650634766,Douglas Co.
1160 East Highway 205,Columbia City,Indiana,46725,41.15801239013672,-85.46861267089844,Whitley Co.
1037f Macarthur Road,Reading,Pennsylvania,19605,40.37883758544922,-75.97467041015625,Berks Co.
55 N Church St,Hazleton,Pennsylvania,18201,40.95615416765213,-75.97631223499775,Luzerne Co.
510 South Orleans Avenue,Orleans,Nebraska,68966,40.131019592285156,-99.455078125,Harlan Co.
217 North Eufaula Avenue,Eufaula,Alabama,36027,31.8940582126379,-85.14558725059032,Barbour Co.
541 Ross Street,Heflin,Alabama,36264,33.643983006477356,-85.58785267174244,Cleburne Co.
727 Penns Park Road,Wrightstown,Pennsylvania,18940,40.26510238647461,-74.99266052246094,Bucks Co.
84 Main St.,Cordova,Alabama,35550,33.76262851059437,-87.06672482192516,Walker Co.
1685a Art School Road,Chester Springs,Pennsylvania,19425,40.10011911392212,-75.62108516693115,Chester Co.
